5.81298828125,0.087890625,0.52734375,0.439453125,0.3515625
51.06591796875,0.087890625,0.52734375,0.439453125,0.263671875
98.403076171875,0.087890625,0.52734375,0.52734375,0.3515625
146.89013671875,0.17578125,0.52734375,0.439453125,0.3515625
194.721923828125,0.703125,0.52734375,0.52734375,0.52734375
243.114990234375,1.142578125,0.52734375,0.439453125,0.87890625
289.945068359375,1.669921875,0.439453125,0.263671875,1.40625
337.9130859375,2.548828125,0.263671875,-0.087890625,1.93359375
385.7900390625,3.603515625,-0.3515625,-0.615234375,2.548828125
433.652099609375,4.833984375,-0.966796875,-1.23046875,3.33984375
481.80712890625,6.15234375,-1.845703125,-1.93359375,4.21875
529.81201171875,7.55859375,-2.63671875,-2.724609375,5.185546875
577.60302734375,9.140625,-3.603515625,-3.603515625,6.240234375
625.64208984375,10.8984375,-4.5703125,-4.482421875,7.470703125
673.674072265625,12.83203125,-5.537109375,-5.625,8.61328125
722.02392578125,14.94140625,-6.6796875,-6.6796875,9.931640625
769.985107421875,17.05078125,-7.822265625,-7.822265625,11.42578125
817.677978515625,19.16015625,-8.96484375,-8.96484375,12.83203125
866.051025390625,21.357421875,-10.01953125,-10.01953125,14.23828125
913.901123046875,23.466796875,-11.162109375,-11.07421875,15.732421875
962.4208984375,25.751953125,-12.392578125,-12.12890625,17.138671875
1010.39111328125,27.861328125,-13.53515625,-13.271484375,18.544921875
1058.31298828125,30.05859375,-14.677734375,-14.4140625,19.951171875
1106.16796875,32.080078125,-15.8203125,-15.46875,21.4453125
1154.35498046875,34.27734375,-16.875,-16.611328125,22.8515625
1201.9619140625,36.38671875,-18.017578125,-17.666015625,24.345703125
1250.14306640625,38.583984375,-19.16015625,-18.720703125,25.83984375
1297.84301757812,40.693359375,-20.302734375,-19.86328125,27.24609375
1345.77197265625,42.890625,-21.4453125,-20.91796875,28.65234375
1393.75708007812,45.087890625,-22.5,-22.060546875,30.05859375
1442.39013671875,47.109375,-23.642578125,-23.115234375,31.46484375
1490.36596679688,48.955078125,-24.697265625,-24.169921875,32.783203125
1538.21801757812,50.80078125,-25.6640625,-25.048828125,33.92578125
1586.22998046875,52.3828125,-26.455078125,-25.83984375,34.98046875
1634.17309570312,53.7890625,-27.24609375,-26.54296875,36.03515625
1682.1640625,55.107421875,-27.861328125,-27.158203125,36.826171875
1730.07104492188,56.25,-28.4765625,-27.685546875,37.6171875
1778.15502929688,57.216796875,-29.00390625,-28.125,38.3203125
1826.44506835938,58.095703125,-29.35546875,-28.564453125,38.84765625
1874.31811523438,58.798828125,-29.70703125,-28.916015625,39.287109375
1921.72192382812,59.326171875,-29.8828125,-29.091796875,39.55078125
1969.69799804688,59.677734375,-29.8828125,-29.1796875,39.7265625
2017.6689453125,59.853515625,-29.8828125,-29.1796875,39.90234375
